ACCESSION_NUMBER	HOLDING_ID	ISSUER_NAME	ISSUER_LEI	ISSUER_TITLE	ISSUER_CUSIP	BALANCE	UNIT	OTHER_UNIT_DESC	CURRENCY_CODE	CURRENCY_VALUE	EXCHANGE_RATE	PERCENTAGE	PAYOFF_PROFILE	ASSET_CAT	OTHER_ASSET	ISSUER_TYPE	OTHER_ISSUER	INVESTMENT_COUNTRY	IS_RESTRICTED_SECURITY	FAIR_VALUE_LEVEL	DERIVATIVE_CAT	PRICE_PER_UNIT
0001752724-20-040307	21069062	Agios Pharmaceuticals Inc	529900ONJHY8EOGYT555	Agios Pharmaceuticals Inc	00847X104	1099540	NS		USD	52503035		1.21311261721	Long	EC		CORP		US	N	1		47.750000
0001752724-20-040307	21069064	Agenus Inc	529900NDQQGU5H4UJK81	Agenus Inc	00847G705	1414886	NS		USD	5758586.02		.133055419713	Long	EC		CORP		US	N	1		4.070000
0001752724-20-040307	21069066	CareDx Inc	549300NQOFKL9NON0U06	CareDx Inc	14167L103	1663126	NS		USD	35873627.82		.828880664394	Long	EC		CORP		US	N	1		21.570000
0001752724-20-040307	21069069	AMAG Pharmaceuticals Inc	549300HCK1560YVVY867	AMAG Pharmaceuticals Inc	00163U106	1418285	NS		USD	17260528.45		.3988143703	Long	EC		CORP		US	N	1		12.170000
0001752724-20-040307	21069073	Sangamo Therapeutics Inc	2549006WMRKRC4G32Z67	Sangamo Therapeutics Inc	800677106	2408787	NS		USD	20161547.19		.46584406556	Long	EC		CORP		US	N	1		8.370000
0001752724-20-040307	21069079	Catalyst Pharmaceuticals Inc	5299004O0R5XXLA5H544	Catalyst Pharmaceuticals Inc	14888U101	5351002	NS		USD	20066257.5		.463642342836	Long	EC		CORP		US	N	1		3.750000
0001752724-20-040307	21069081	Incyte Corp	549300Z4WN6JVZ3T4680	Incyte Corp	45337C102	792842	NS		USD	69230963.44		1.59962096002	Long	EC		CORP		US	N	1		87.320000
0001752724-20-040307	21069084	ArQule Inc	529900E3KUAEG4GJ1707	ArQule Inc	04269E107	1856603	NS		USD	37057795.88		.856241543903	Long	EC		CORP		US	N	1		19.960000
0001752724-20-040307	21069088	Amgen Inc	62QBXGPJ34PQ72Z12S66	Amgen Inc	031162100	306454	NS		USD	73876865.78		1.706967187661	Long	EC		CORP		US	N	1		241.070000
0001752724-20-040307	21069091	Alector Inc	549300Z8RQOIY1JMHC25	Alector Inc	014442107	488304	NS		USD	8413477.92		.194398213729	Long	EC		CORP		US	N	1		17.230000
0001752724-20-040307	21069097	AbbVie Inc	FR5LCKFTG8054YNNRU85	AbbVie Inc	00287Y109	825956	NS		USD	73130144.24		1.689713759898	Long	EC		CORP		US	N	1		88.540000
0001752724-20-040307	21069100	Alnylam Pharmaceuticals Inc	529900S3ZI14OWRJII50	Alnylam Pharmaceuticals Inc	02043Q107	616219	NS		USD	70969942.23		1.639801058393	Long	EC		CORP		US	N	1		115.170000
0001752724-20-040307	21069104	Medicines Co/The	254900Z72DIL282LFL79	Medicines Co/The	584688105	893677	NS		USD	75908924.38		1.753919062473	Long	EC		CORP		US	N	1		84.940000
0001752724-20-040307	21069106	Regeneron Pharmaceuticals Inc	549300RCBFWIRX3HYQ56	Regeneron Pharmaceuticals Inc	75886F107	192696	NS		USD	72353494.08		1.671768814272	Long	EC		CORP		US	N	1		375.480000
0001752724-20-040307	21069111	Blueprint Medicines Corp	5299004CC60O9T5HVM83	Blueprint Medicines Corp	09627Y109	841884	NS		USD	67443327.24		1.558316604391	Long	EC		CORP		US	N	1		80.110000
0001752724-20-040307	21069113	Anika Therapeutics Inc	529900R9LS3Z0O6QH455	Anika Therapeutics Inc	035255108	346118	NS		USD	17946218.3		.414657626	Long	EC		CORP		US	N	1		51.850000
0001752724-20-040307	21069132	Epizyme Inc	549300TNFWF88O4U4605	Epizyme Inc	29428V104	870146	NS		USD	21405591.6		.494588422341	Long	EC		CORP		US	N	1		24.600000
0001752724-20-040307	21069117	Prothena Corp PLC	5299009ZXQ8NIIJ8OL30	Prothena Corp PLC	000000000	230886	NS		USD	3654925.38		.084449138862	Long	EC		CORP		IE	N	1		15.830000
0001752724-20-040307	21069122	ACADIA Pharmaceuticals Inc	529900O3044NO0PEA039	ACADIA Pharmaceuticals Inc	004225108	1636305	NS		USD	70001127.9		1.617416049842	Long	EC		CORP		US	N	1		42.780000
0001752724-20-040307	21069126	ImmunoGen Inc	54930084U0R1OP766Y02	ImmunoGen Inc	45253H101	2298927	NS		USD	11736022.34		.271167500631	Long	EC		CORP		US	N	1		5.105000
0001752724-20-040307	21069134	Ionis Pharmaceuticals Inc	549300SI4ZGLG0BLUZ92	Ionis Pharmaceuticals Inc	462222100	1150700	NS		USD	69513787		1.606155759943	Long	EC		CORP		US	N	1		60.410000
0001752724-20-040307	21069127	Portola Pharmaceuticals Inc	549300BM3O4O0CNBGJ64	Portola Pharmaceuticals Inc	737010108	1635240	NS		USD	39049531.2		.902261726295	Long	EC		CORP		US	N	1		23.880000
0001752724-20-040307	21069137	Apellis Pharmaceuticals Inc	254900HS0ZFRXXSB9D42	Apellis Pharmaceuticals Inc	03753U106	1299258	NS		USD	39783279.96		.919215410565	Long	EC		CORP		US	N	1		30.620000
0001752724-20-040307	21069143	Karuna Therapeutics Inc	N/A	Karuna Therapeutics Inc	48576A100	41568	NS		USD	3131733.12		.07236048281	Long	EC		CORP		US	N	1		75.340000
0001752724-20-040307	21069152	Arena Pharmaceuticals Inc	529900CVGQMPJ3A3NI85	Arena Pharmaceuticals Inc	040047607	794573	NS		USD	36089505.66		.833868645212	Long	EC		CORP		US	N	1		45.420000
0001752724-20-040307	21069153	G1 Therapeutics Inc	529900TC35UPZQYRKW13	G1 Therapeutics Inc	3621LQ109	696221	NS		USD	18401121.03		.42516841345	Long	EC		CORP		US	N	1		26.430000
0001752724-20-040307	21069156	Iovance Biotherapeutics Inc	549300220Z2GHH33XL82	Iovance Biotherapeutics Inc	462260100	1904679	NS		USD	52721514.72		1.218160715952	Long	EC		CORP		US	N	1		27.680000
0001752724-20-040307	21069159	Homology Medicines Inc	549300RWKPJEFTM3K452	Homology Medicines Inc	438083107	322741	NS		USD	6680738.7		.154362284185	Long	EC		CORP		US	N	1		20.700000
0001752724-20-040307	21069163	Viking Therapeutics Inc	529900IVC72YPFA25M37	Viking Therapeutics Inc	92686J106	2251466	NS		USD	18056757.32		.417211693205	Long	EC		CORP		US	N	1		8.020000
0001752724-20-040307	21069167	FibroGen Inc	549300Q914ULWWY95822	FibroGen Inc	31572Q808	999944	NS		USD	42887598.16		.990942455988	Long	EC		CORP		US	N	1		42.890000
0001752724-20-040307	21069169	Momenta Pharmaceuticals Inc	529900BB2VMRCT4YQ588	Momenta Pharmaceuticals Inc	60877T100	802502	NS		USD	15833364.46		.365838931012	Long	EC		CORP		US	N	1		19.730000
0001752724-20-040307	21069175	United Therapeutics Corp	5299005C4HZL4UWROC14	United Therapeutics Corp	91307C102	809490	NS		USD	71299879.2		1.647424440569	Long	EC		CORP		US	N	1		88.080000
0001752724-20-040307	21069177	Ironwood Pharmaceuticals Inc	549300PC8MR6QHH6P296	Ironwood Pharmaceuticals Inc	46333X108	2523747	NS		USD	33591072.57		.776140921382	Long	EC		CORP		US	N	1		13.310000
0001752724-20-040307	21069180	PTC Therapeutics Inc	549300UJLWOIWFDGB318	PTC Therapeutics Inc	69366J200	1103226	NS		USD	52987944.78		1.224316734692	Long	EC		CORP		US	N	1		48.030000
0001752724-20-040307	21069181	Y-mAbs Therapeutics Inc	N/A	Y-mAbs Therapeutics Inc	984241109	313668	NS		USD	9802125		.226483697808	Long	EC		CORP		US	N	1		31.250000
0001752724-20-040307	21069186	Stemline Therapeutics Inc	529900EFNCIRC8Q7V234	Stemline Therapeutics Inc	85858C107	1258802	NS		USD	13381065.26		.309177157065	Long	EC		CORP		US	N	1		10.630000
0001752724-20-040307	21069190	Atara Biotherapeutics Inc	549300WBXUXZRE03MS38	Atara Biotherapeutics Inc	046513107	1168613	NS		USD	19247056.11		.444714226733	Long	EC		CORP		US	N	1		16.470000
0001752724-20-040307	21069195	Turning Point Therapeutics Inc	N/A	Turning Point Therapeutics Inc	90041T108	506562	NS		USD	31553746.98		.729067349757	Long	EC		CORP		US	N	1		62.290000
0001752724-20-040307	21069197	Retrophin Inc	N/A	Retrophin Inc	761299106	858504	NS		USD	12190756.8		.281674400106	Long	EC		CORP		US	N	1		14.200000
0001752724-20-040307	21069205	Gilead Sciences Inc	549300WTZWR07K8MNV44	Gilead Sciences Inc	375558103	1103082	NS		USD	71678268.36		1.656167338274	Long	EC		CORP		US	N	1		64.980000
0001752724-20-040307	21069211	Xencor Inc	549300V5IF65437JKG30	Xencor Inc	98401F105	548281	NS		USD	18855383.59		.435664409407	Long	EC		CORP		US	N	1		34.390000
0001752724-20-040307	21069212	Exact Sciences Corp	549300VM3X1FYD4N9Z14	Exact Sciences Corp	30063P105	831992	NS		USD	76942620.16		1.777803193992	Long	EC		CORP		US	N	1		92.480000
0001752724-20-040307	21069215	Neurocrine Biosciences Inc	549300FECER0XBN49756	Neurocrine Biosciences Inc	64125C109	656079	NS		USD	70521931.71		1.629449519393	Long	EC		CORP		US	N	1		107.490000
0001752724-20-040307	21069217	Flexion Therapeutics Inc	549300X8HYW1HZKCDG90	Flexion Therapeutics Inc	33938J106	948340	NS		USD	19630638		.453577105431	Long	EC		CORP		US	N	1		20.700000
0001752724-20-040307	21069222	Mirati Therapeutics Inc	529900GYRW59IDQV6N54	Mirati Therapeutics Inc	60468T105	646356	NS		USD	83289434.16		1.924449957222	Long	EC		CORP		US	N	1		128.860000
0001752724-20-040307	21069227	Editas Medicine Inc	5299000AON4Q9NT2JE42	Editas Medicine Inc	28106W103	911034	NS		USD	26975716.74		.62328934576	Long	EC		CORP		US	N	1		29.610000
0001752724-20-040307	21069230	Natera Inc	N/A	Natera Inc	632307104	1211592	NS		USD	40818534.48		.943135557662	Long	EC		CORP		US	N	1		33.690000
0001752724-20-040307	21069233	NextCure Inc	549300Y5PR6RJR1STI24	NextCure Inc	65343E108	186748	NS		USD	10519514.84		.243059399886	Long	EC		CORP		US	N	1		56.330000
0001752724-20-040307	21069237	REGENXBIO Inc	549300EOES47LATSET33	REGENXBIO Inc	75901B107	920949	NS		USD	37731280.53		.871802791485	Long	EC		CORP		US	N	1		40.970000
0001752724-20-040307	21069239	Puma Biotechnology Inc	N/A	Puma Biotechnology Inc	74587V107	2820129	NS		USD	24676128.75		.57015605156	Long	EC		CORP		US	N	1		8.750000
0001752724-20-040307	21069245	Bridgebio Pharma Inc	54930028YG89VTY2J114	Bridgebio Pharma Inc	10806X102	355936	NS		USD	12475556.8		.288254866805	Long	EC		CORP		US	N	1		35.050000
0001752724-20-040307	21069248	Arrowhead Pharmaceuticals Inc	549300O3CSB8T7OZ3D66	Arrowhead Pharmaceuticals Inc	04280A100	1091624	NS		USD	69241710.32		1.599869272821	Long	EC		CORP		US	N	1		63.430000
0001752724-20-040307	21069251	Aimmune Therapeutics Inc	549300WDF7T2EVBC1877	Aimmune Therapeutics Inc	00900T107	1268174	NS		USD	42445783.78		.980734082341	Long	EC		CORP		US	N	1		33.470000
0001752724-20-040307	21069323	Exelixis Inc	N/A	Exelixis Inc	30161Q104	4071360	NS		USD	71737363.2		1.657532758311	Long	EC		CORP		US	N	1		17.620000
0001752724-20-040307	21069254	Clovis Oncology Inc	529900WCUY9ZAHMRV489	Clovis Oncology Inc	189464100	2646534	NS		USD	27590116.95		.637485413602	Long	EC		CORP		US	N	1		10.425000
0001752724-20-040307	21069326	Twist Bioscience Corp	549300T23BL59LCOH584	Twist Bioscience Corp	90184D100	430075	NS		USD	9031575		.208679699864	Long	EC		CORP		US	N	1		21.000000
0001752724-20-040307	21069257	Ligand Pharmaceuticals Inc	5493008K7TB0IKP37H79	Ligand Pharmaceuticals Inc	53220K504	684161	NS		USD	71351150.69		1.648609097635	Long	EC		CORP		US	N	1		104.290000
