ticker	sponsor_name	nct_id	phase	overall_status	brief_title	study_first_submitted_date	start_date	intervention_type	intervention_name	conditions	data_source	drug_chembl_id	target_chembl_id	action_type	target_name	gene_symbol	target_type
ABBV	AbbVie	NCT03033498	PHASE1	COMPLETED	A Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Subcutaneous Infusions of ABBV-951 in Subjects With Parkinson's Disease	2017-01-25	2017-05-17	DRUG	ABBV-951	Parkinson's Disease (PD)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03374917	PHASE1	COMPLETED	A Study in Subjects With Parkinson's Disease to Evaluate the Safety and Tolerability of Titration and Continuous Subcutaneous Infusion of ABBV-951 in an Outpatient Environment	2017-12-08	2018-04-18	DRUG	ABBV-951	Parkinson's Disease (PD)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT01853033	PHASE1	COMPLETED	A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Multiple Subcutaneous Injections of ABT-122 in Subjects With Rheumatoid Arthritis	2013-05-10	2013-07-31	BIOLOGICAL	ABT-122	Rheumatoid Arthritis	AACT/ClinicalTrials.gov		CHEMBL2094114	INHIBITOR	Tumor necrosis factor (TNF)	TNF	single_protein
ABBV	AbbVie	NCT01853033	PHASE1	COMPLETED	A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Multiple Subcutaneous Injections of ABT-122 in Subjects With Rheumatoid Arthritis	2013-05-10	2013-07-31	BIOLOGICAL	ABT-122	Rheumatoid Arthritis	AACT/ClinicalTrials.gov		CHEMBL3559698	INHIBITOR	Interleukin-17A (IL17A)	IL17A	single_protein
ABBV	AbbVie	NCT01946074	PHASE1	COMPLETED	A Study of ABT-165 in Subjects With Solid Tumors	2013-09-17	2013-08-08	DRUG	ABT-165	Advanced Solid Tumors	AACT/ClinicalTrials.gov						
ABBV	AbbVie (prior sponsor, Abbott)	NCT01686555	PHASE1	COMPLETED	A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of ABT-199 in Female Patients With Systemic Lupus Erythematosus (SLE)	2012-09-13	2012-11-30	DRUG	ABT-199	Lupus Erythematosus	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01682616	PHASE1	COMPLETED	A Phase 1b Study Evaluating the Safety and Tolerability of ABT-199 in Combination With Rituximab in Subjects With Relapsed Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma	2012-06-26	2012-07-25	DRUG	ABT-199	Chronic Lymphocytic Leukemia | Small Lymphocytic Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01969669	PHASE1	COMPLETED	A Study to Assess the Effect of Ketoconazole on the Metabolism of ABT-199	2013-10-22	2013-12-31	DRUG	ABT-199	Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01969682	PHASE1	WITHDRAWN	A Study to Assess the Effect of Rifampin on the Metabolism of ABT-199	2013-10-22	2014-04-30	DRUG	ABT-199	Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01969695	PHASE1	COMPLETED	An Extension Study of ABT-199 in Subjects With Advanced Non-Hodgkin's Lymphoma	2013-10-22	2013-12-20	DRUG	ABT-199	Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01594229	PHASE1	COMPLETED	A Study Evaluating the Safety and Pharmacokinetics of ABT-199 in Combination With Bendamustine/Rituximab (BR) in Subjects With Relapsed or Refractory Non-Hodgkin's Lymphoma	2012-04-20	2012-05-21	DRUG	ABT-199	Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01328626	PHASE1	COMPLETED	A Phase 1 Study Evaluating the Safety and Pharmacokinetics of ABT-199 in Subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia and Non-Hodgkin Lymphoma	2011-04-01	2011-05-23	DRUG	ABT-199	Chronic Lymphocytic Leukemia | Non-Hodgkin Lymphoma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT01794507	PHASE1	COMPLETED	A Study Evaluating ABT-199 in Multiple Myeloma Subjects Who Are Receiving Bortezomib and Dexamethasone as Standard Therapy	2012-12-13	2012-11-19	DRUG	ABT-199	Relapsed/Refractory Multiple Myeloma	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT02203773	PHASE1	TERMINATED	Study of ABT-199 (GDC-0199) in Combination With Azacitidine or Decitabine (Chemo Combo) in Subjects With Acute Myelogenous Leukemia (AML)	2014-07-10	2014-10-06	DRUG	ABT-199	Acute Myelogenous Leukemia | Myelogenous Leukemia | Treatment Naive AML	AACT/ClinicalTrials.gov	CHEMBL3137309	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00868413	PHASE1	COMPLETED	Study of ABT-263 When Administered in Combination With Either Fludarabine/Cyclophosphamide/Rituximab or Bendamustine/Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia	2009-03-20	2009-11-30	DRUG	ABT-263	Chronic Lymphocytic Leukemia	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00868413	PHASE1	COMPLETED	Study of ABT-263 When Administered in Combination With Either Fludarabine/Cyclophosphamide/Rituximab or Bendamustine/Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia	2009-03-20	2009-11-30	DRUG	ABT-263	Chronic Lymphocytic Leukemia	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00868413	PHASE1	COMPLETED	Study of ABT-263 When Administered in Combination With Either Fludarabine/Cyclophosphamide/Rituximab or Bendamustine/Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia	2009-03-20	2009-11-30	DRUG	ABT-263	Chronic Lymphocytic Leukemia	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4677	INHIBITOR	Apoptosis regulator Bcl-W	BCL2L2	single_protein
ABBV	AbbVie	NCT00982566	PHASE1	COMPLETED	Assess the Oral Bioavailability of a New ABT-263 Formulation in Subjects With Cancer	2009-09-22	2009-10-31	DRUG	ABT-263	Lymphoid Malignancy | Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT00982566	PHASE1	COMPLETED	Assess the Oral Bioavailability of a New ABT-263 Formulation in Subjects With Cancer	2009-09-22	2009-10-31	DRUG	ABT-263	Lymphoid Malignancy | Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
ABBV	AbbVie	NCT00982566	PHASE1	COMPLETED	Assess the Oral Bioavailability of a New ABT-263 Formulation in Subjects With Cancer	2009-09-22	2009-10-31	DRUG	ABT-263	Lymphoid Malignancy | Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4677	INHIBITOR	Apoptosis regulator Bcl-W	BCL2L2	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00878449	PHASE1	COMPLETED	A Study Evaluating the Safety of ABT-263 in Combination With Etoposide/Cisplatin in Subjects With Cancer	2009-04-07	2009-10-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00878449	PHASE1	COMPLETED	A Study Evaluating the Safety of ABT-263 in Combination With Etoposide/Cisplatin in Subjects With Cancer	2009-04-07	2009-10-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
ABBV	AbbVie (prior sponsor, Abbott)	NCT00878449	PHASE1	COMPLETED	A Study Evaluating the Safety of ABT-263 in Combination With Etoposide/Cisplatin in Subjects With Cancer	2009-04-07	2009-10-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4677	INHIBITOR	Apoptosis regulator Bcl-W	BCL2L2	single_protein
ABBV	AbbVie	NCT00891605	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Paclitaxel in Subjects With Solid Tumors	2009-04-29	2009-07-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT00891605	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Paclitaxel in Subjects With Solid Tumors	2009-04-29	2009-07-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
ABBV	AbbVie	NCT00891605	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Paclitaxel in Subjects With Solid Tumors	2009-04-29	2009-07-31	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4677	INHIBITOR	Apoptosis regulator Bcl-W	BCL2L2	single_protein
ABBV	AbbVie	NCT00887757	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Gemzar (Gemcitabine) in Subjects With Solid Tumors	2009-04-23	2009-09-30	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT00887757	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Gemzar (Gemcitabine) in Subjects With Solid Tumors	2009-04-23	2009-09-30	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
ABBV	AbbVie	NCT00887757	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Gemzar (Gemcitabine) in Subjects With Solid Tumors	2009-04-23	2009-09-30	DRUG	ABT-263	Solid Tumors	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4677	INHIBITOR	Apoptosis regulator Bcl-W	BCL2L2	single_protein
ABBV	AbbVie	NCT00788684	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Rituximab in Lymphoid Cancers	2008-11-10	2009-07-21	DRUG	ABT-263	CD20-Positive Lymphoid Malignancies | Chronic Lymphoid Leukemia | Hematological Malignancies | Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4860	INHIBITOR	Apoptosis regulator Bcl-2	BCL2	single_protein
ABBV	AbbVie	NCT00788684	PHASE1	COMPLETED	Safety Study of ABT-263 in Combination With Rituximab in Lymphoid Cancers	2008-11-10	2009-07-21	DRUG	ABT-263	CD20-Positive Lymphoid Malignancies | Chronic Lymphoid Leukemia | Hematological Malignancies | Non-Hodgkin's Lymphoma	AACT/ClinicalTrials.gov	CHEMBL443684	CHEMBL4625	INHIBITOR	Apoptosis regulator Bcl-X (Bcl-XL)	BCL2L1	single_protein
